entry_id,violent_external,dress,year_from,world_region,year_scaled
173,0,0,90,Southwest Asia,-0.9568785479841679
174,1,0,50,Southwest Asia,-0.9941073042938003
212,0,0,-481,East Asia,-1.4883190443041712
217,0,0,-202,Europe,-1.2286484690444848
230,1,0,-3300,Southwest Asia,-4.112015645225518
231,0,0,-600,Europe,-1.5990745943253277
257,0,1,250,North America,-0.8079635227456381
284,0,0,-3500,Oceania-Australia,-4.2981594267736805
354,0,0,-330,Southwest Asia,-1.3477804892353087
381,0,0,1469,South Asia,0.3265828257904109
389,0,0,1840,Southeast Asia,0.6718795405622519
392,1,1,1606,South Asia,0.45409131615090204
400,0,0,1980,Southeast Asia,0.8021801876459654
415,0,1,1970,South Asia,0.7928729985685574
419,0,0,1970,South Asia,0.7928729985685574
422,0,0,-1500,Europe,-2.4367216112920578
424,1,0,-550,Southwest Asia,-1.552538648938287
441,0,0,1690,South Asia,0.5322717044011303
442,0,0,311,Africa,-0.7511896693734486
456,0,1,-165,Southwest Asia,-1.1942118694580748
469,0,0,1916,East Asia,0.7426141775505536
476,1,1,1000,Southeast Asia,-0.1099243419400296
483,0,0,2015,Europe,0.8347553494168939
484,0,0,2015,Europe,0.8347553494168939
485,1,1,500,Europe,-0.5752837958104352
486,0,0,1830,North America,0.6625723514848438
490,0,1,1260,Europe,0.13206257407258135
492,1,1,-800,Europe,-1.78521837587349
520,1,1,1600,Southeast Asia,0.4485070027044572
525,0,0,1951,Africa,0.7751893393214819
526,0,0,1900,Southeast Asia,0.7277226750267006
534,1,0,-42,Europe,-1.079733443805955
562,1,0,1017,South Asia,-0.0941021205084358
563,0,0,1845,South Asia,0.6765331351009559
564,1,0,1950,South Asia,0.7742586204137412
567,0,0,2001,Europe,0.8217252847085226
570,1,0,1986,Southeast Asia,0.8077645010924104
580,0,1,1700,South Asia,0.5415788934785383
581,0,1,1970,Southeast Asia,0.7928729985685574
590,0,0,670,East Asia,-0.41706158149449735
592,0,0,1200,South Asia,0.07621943960813266
623,0,0,1893,North America,0.7212076426725149
624,1,0,1550,South Asia,0.4019710573174166
629,0,0,1200,South Asia,0.07621943960813266
632,1,0,-650,Europe,-1.6456105397123684
633,0,0,1238,South Asia,0.1115867581022835
645,0,0,1100,South Asia,-0.01685245116594847
649,0,0,700,South Asia,-0.389140014262273
654,1,1,1198,Europe,0.07435800179265104
661,0,1,1113,Europe,-0.004753105365317923
676,0,1,1198,Europe,0.07435800179265104
680,0,0,1850,South Asia,0.68118672963966
685,0,0,1940,Southeast Asia,0.764951431336333
688,0,0,1866,South Asia,0.6960782321635129
690,0,0,1880,South Asia,0.7091082968718844
714,0,1,550,South Asia,-0.5287478504233947
719,0,0,1845,North America,0.6765331351009559
726,0,1,-700,South Asia,-1.6921464850994088
727,1,1,1160,Southeast Asia,0.03899068329850021
739,1,0,1885,Oceania-Australia,0.7137618914105884
