marker,model,parameter,rhat,ess_bulk,ess_tail
circumcision,fit_base,Intercept,1,4120.41,3776.41
circumcision,fit_base,violent_external,1,4519.04,4795.81
circumcision,fit_phylo,Intercept,1,8112.99,6178.93
circumcision,fit_phylo,violent_external,1,15747.17,5831.09
circumcision,fit_phylo_repeat,Intercept,1,4217.71,5146.63
circumcision,fit_phylo_repeat,violent_external,1,8745.91,5866.18
circumcision,fit_phylo_year,Intercept,1,7518.1,5872.49
circumcision,fit_phylo_year,violent_external,1,12539.72,6316.44
circumcision,fit_phylo_year,year_scaled,1,11202.44,5826.12
circumcision,fit_phylo_year,world_regionCentralEurasia,1,14533.98,6369.32
circumcision,fit_phylo_year,world_regionEastAsia,1,13255.48,5565.1
circumcision,fit_phylo_year,world_regionEurope,1,11693.56,6505.21
circumcision,fit_phylo_year,world_regionNorthAmerica,1,14063.73,5990.64
circumcision,fit_phylo_year,world_regionOceaniaMAustralia,1,12940.77,5724.43
circumcision,fit_phylo_year,world_regionSouthAmerica,1,16721.36,6036.38
circumcision,fit_phylo_year,world_regionSouthAsia,1,10137.85,5825.74
circumcision,fit_phylo_year,world_regionSoutheastAsia,1,11221.57,6503.23
circumcision,fit_phylo_year,world_regionSouthwestAsia,1,12380.63,6915.24
dress,fit_base,Intercept,1,5021.05,4790.51
dress,fit_base,violent_external,1,4984.58,4863.36
dress,fit_phylo,Intercept,1,6862.71,5493.89
dress,fit_phylo,violent_external,1,13470.87,5888.92
dress,fit_phylo_repeat,Intercept,1,5206.64,4927.39
dress,fit_phylo_repeat,violent_external,1,10883.88,5911.78
dress,fit_phylo_year,Intercept,1,11003.15,5664.33
dress,fit_phylo_year,violent_external,1,18479.23,5725.21
dress,fit_phylo_year,year_scaled,1,15684.41,5815.27
dress,fit_phylo_year,world_regionCentralEurasia,1,15865.27,6856.51
dress,fit_phylo_year,world_regionEastAsia,1,13076.24,6714.01
dress,fit_phylo_year,world_regionEurope,1,12321.86,5818.68
dress,fit_phylo_year,world_regionNorthAmerica,1,15128.52,5759.67
dress,fit_phylo_year,world_regionOceaniaMAustralia,1,18620.98,5341.27
dress,fit_phylo_year,world_regionSouthAmerica,1,18724.31,6232.67
dress,fit_phylo_year,world_regionSouthAsia,1,12134.4,6755.35
dress,fit_phylo_year,world_regionSoutheastAsia,1,13267.27,6689.87
dress,fit_phylo_year,world_regionSouthwestAsia,1,15691.96,7292.8
extra_ritual_group_markers,fit_base,Intercept,1,5312.03,5052.08
extra_ritual_group_markers,fit_base,violent_external,1,5438.87,4750.53
extra_ritual_group_markers,fit_phylo,Intercept,1,7512.01,5204.23
extra_ritual_group_markers,fit_phylo,violent_external,1,22130.87,6399.29
extra_ritual_group_markers,fit_phylo_repeat,Intercept,1,5371.72,4119.39
extra_ritual_group_markers,fit_phylo_repeat,violent_external,1,12527.92,6077.02
extra_ritual_group_markers,fit_phylo_year,Intercept,1,7009.34,5741.61
extra_ritual_group_markers,fit_phylo_year,violent_external,1,14474.05,5628.84
extra_ritual_group_markers,fit_phylo_year,year_scaled,1,12527.1,6293.19
extra_ritual_group_markers,fit_phylo_year,world_regionCentralEurasia,1,13378.61,6495.37
extra_ritual_group_markers,fit_phylo_year,world_regionEastAsia,1,10015.73,6833.77
extra_ritual_group_markers,fit_phylo_year,world_regionEurope,1,9557.3,6635.6
extra_ritual_group_markers,fit_phylo_year,world_regionNorthAmerica,1,11682.93,6513.22
extra_ritual_group_markers,fit_phylo_year,world_regionOceaniaMAustralia,1,13999.78,6051.99
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAmerica,1,15185.92,5991.44
