marker,parameter,median,lo95,hi95
circumcision,Intercept,-2.01,-2.39,-1.58
circumcision,violent_external,0.97,0.44,1.52
dress,Intercept,-1.22,-1.54,-0.91
dress,violent_external,0.56,0.08,1
extra_ritual_group_markers,Intercept,-0.8,-1.09,-0.52
extra_ritual_group_markers,violent_external,0.81,0.4,1.26
food_taboos,Intercept,-1.42,-1.76,-1.1
food_taboos,violent_external,0.89,0.44,1.37
hair,Intercept,-1.64,-1.99,-1.29
hair,violent_external,0.45,-0.07,0.97
ornaments,Intercept,-1.72,-2.08,-1.36
ornaments,violent_external,0.37,-0.17,0.91
permanent_scarring,Intercept,-2.97,-3.55,-2.45
permanent_scarring,violent_external,1.23,0.58,1.97
tattoos_scarification,Intercept,-2.65,-3.18,-2.14
tattoos_scarification,violent_external,0.23,-0.54,0.96
