marker,parameter,rhat,ess_bulk,ess_tail
circumcision,Intercept,1,8024.62,5820.97
circumcision,violent_external,1,15794.54,6000.71
circumcision,year_scaled,1,11885.55,6605.01
circumcision,world_regionCentralEurasia,1,14391.7,6397.15
circumcision,world_regionEastAsia,1,15829.15,6374.89
circumcision,world_regionEurope,1,12650.08,6572.2
circumcision,world_regionNorthAmerica,1,14581.76,5657.86
circumcision,world_regionOceaniaMAustralia,1,15888.64,6000.89
circumcision,world_regionSouthAmerica,1,17588.62,5653.54
circumcision,world_regionSouthAsia,1,10075.68,6107.96
circumcision,world_regionSoutheastAsia,1,11395.78,6378.2
circumcision,world_regionSouthwestAsia,1,11404.04,6239.88
dress,Intercept,1,11417.13,5981.69
dress,violent_external,1,18409.32,5497.66
dress,year_scaled,1,14915.61,6177.46
dress,world_regionCentralEurasia,1,13547.57,6596.68
dress,world_regionEastAsia,1,14741.37,6649.91
dress,world_regionEurope,1,12613.15,6541.62
dress,world_regionNorthAmerica,1,13764.51,6231.19
dress,world_regionOceaniaMAustralia,1,19492.09,5511.78
dress,world_regionSouthAmerica,1,17542.2,5876.78
dress,world_regionSouthAsia,1,12179.71,6430.99
dress,world_regionSoutheastAsia,1,12515.92,5728.74
dress,world_regionSouthwestAsia,1,14023.77,6528.22
extra_ritual_group_markers,Intercept,1,10720.63,5747.93
extra_ritual_group_markers,violent_external,1,20000.52,6699.53
extra_ritual_group_markers,year_scaled,1,13682.51,6395.14
extra_ritual_group_markers,world_regionCentralEurasia,1,13992.77,5584.69
extra_ritual_group_markers,world_regionEastAsia,1,12485.28,6984.76
extra_ritual_group_markers,world_regionEurope,1,11203.55,6672.92
extra_ritual_group_markers,world_regionNorthAmerica,1,13748.82,6234.35
extra_ritual_group_markers,world_regionOceaniaMAustralia,1,18264.84,5491.54
extra_ritual_group_markers,world_regionSouthAmerica,1,19728.99,5810.17
extra_ritual_group_markers,world_regionSouthAsia,1,13117.86,6477.36
extra_ritual_group_markers,world_regionSoutheastAsia,1,13303.16,6126.56
extra_ritual_group_markers,world_regionSouthwestAsia,1,14568.59,6084.26
food_taboos,Intercept,1,8305.59,5371.1
food_taboos,violent_external,1,16328.23,5980.96
food_taboos,year_scaled,1,11694.55,6214.53
food_taboos,world_regionCentralEurasia,1,12820.51,6750.17
food_taboos,world_regionEastAsia,1,10217.63,6326.96
food_taboos,world_regionEurope,1,10180.42,6701.17
food_taboos,world_regionNorthAmerica,1,13036.18,5674.47
food_taboos,world_regionOceaniaMAustralia,1,16562.3,5794.31
food_taboos,world_regionSouthAmerica,1,18371.63,5514.22
food_taboos,world_regionSouthAsia,1,11286,6557.24
food_taboos,world_regionSoutheastAsia,1,11541.26,6294.76
food_taboos,world_regionSouthwestAsia,1,10962.59,6409.97
hair,Intercept,1,6615.59,5425.48
hair,violent_external,1,13086.64,6123.13
hair,year_scaled,1,10482.45,5919.42
hair,world_regionCentralEurasia,1,11035.5,6105.3
hair,world_regionEastAsia,1,9546.73,6442.33
hair,world_regionEurope,1,10229.85,6475.83
hair,world_regionNorthAmerica,1,10327.45,6243.2
hair,world_regionOceaniaMAustralia,1,14287.76,5714
hair,world_regionSouthAmerica,1,14641.16,6381.79
hair,world_regionSouthAsia,1,8250.5,6511.25
hair,world_regionSoutheastAsia,1,11120.65,5965.66
hair,world_regionSouthwestAsia,1,9817.12,6473.74
ornaments,Intercept,1,7554.4,5998.82
ornaments,violent_external,1,13166.48,6712.55
ornaments,year_scaled,1,10663.83,5566.61
ornaments,world_regionCentralEurasia,1,11740.43,5109.64
ornaments,world_regionEastAsia,1,9958.78,5832.66
ornaments,world_regionEurope,1,10082.31,6580.86
ornaments,world_regionNorthAmerica,1,10995.43,6071.4
ornaments,world_regionOceaniaMAustralia,1,12054.41,5821.61
ornaments,world_regionSouthAmerica,1,11201.4,5951.16
ornaments,world_regionSouthAsia,1,9203.81,5792.42
ornaments,world_regionSoutheastAsia,1,9521.62,5735.63
ornaments,world_regionSouthwestAsia,1,9157.03,5910.87
permanent_scarring,Intercept,1,10814.74,5280.78
permanent_scarring,violent_external,1,15411.93,5620.14
permanent_scarring,year_scaled,1,13025.66,5790.99
permanent_scarring,world_regionCentralEurasia,1,19155.6,5615.94
permanent_scarring,world_regionEastAsia,1,16140.67,5652.74
permanent_scarring,world_regionEurope,1,12664.01,6517.33
permanent_scarring,world_regionNorthAmerica,1,15855.24,6174.46
permanent_scarring,world_regionOceaniaMAustralia,1,16279.81,5952.13
permanent_scarring,world_regionSouthAmerica,1,19352.51,5007.24
permanent_scarring,world_regionSouthAsia,1,15961.35,6118.57
permanent_scarring,world_regionSoutheastAsia,1,14292.16,6358.75
permanent_scarring,world_regionSouthwestAsia,1,13421.67,6401.26
tattoos_scarification,Intercept,1,10362.33,6243.39
tattoos_scarification,violent_external,1,17409.46,6033.88
tattoos_scarification,year_scaled,1,16072.82,6283.16
tattoos_scarification,world_regionCentralEurasia,1,20772.21,5693.69
tattoos_scarification,world_regionEastAsia,1,13801.01,5880.02
tattoos_scarification,world_regionEurope,1,15386.89,6109.66
tattoos_scarification,world_regionNorthAmerica,1,16975.85,5335.37
tattoos_scarification,world_regionOceaniaMAustralia,1,18435.93,5629.48
tattoos_scarification,world_regionSouthAmerica,1,18896.34,4980.32
tattoos_scarification,world_regionSouthAsia,1,13860.82,5774.83
tattoos_scarification,world_regionSoutheastAsia,1,15135.86,6242.91
tattoos_scarification,world_regionSouthwestAsia,1,13750,5895.83
