marker,model,or_median,or_lo95,or_hi95,ame_median,ame_lo95,ame_hi95
circumcision,fit_base,0.89,0.25,1.95,-0.01,-0.09,0.09
circumcision,fit_phylo,1.08,0.28,2.61,0.01,-0.07,0.11
circumcision,fit_phylo_repeat,1.06,0.24,2.57,0,-0.08,0.1
circumcision,fit_phylo_year,1.09,0.21,2.59,0.01,-0.07,0.1
dress,fit_base,0.86,0.33,1.66,-0.02,-0.14,0.11
dress,fit_phylo,0.87,0.32,1.7,-0.02,-0.14,0.11
dress,fit_phylo_repeat,0.87,0.3,1.74,-0.02,-0.13,0.11
dress,fit_phylo_year,0.85,0.29,1.67,-0.02,-0.13,0.1
extra_ritual_group_markers,fit_base,1.07,0.46,1.88,0.01,-0.12,0.16
extra_ritual_group_markers,fit_phylo,1.08,0.49,1.99,0.02,-0.12,0.16
extra_ritual_group_markers,fit_phylo_repeat,1.06,0.46,1.98,0.01,-0.12,0.16
extra_ritual_group_markers,fit_phylo_year,1.08,0.47,2.01,0.02,-0.12,0.16
food_taboos,fit_base,1.54,0.65,2.94,0.07,-0.05,0.2
food_taboos,fit_phylo,1.57,0.58,2.97,0.07,-0.05,0.2
food_taboos,fit_phylo_repeat,1.58,0.6,3.11,0.07,-0.05,0.21
food_taboos,fit_phylo_year,1.63,0.59,3.14,0.07,-0.04,0.2
hair,fit_base,0.81,0.25,1.66,-0.03,-0.12,0.09
hair,fit_phylo,0.85,0.24,1.83,-0.02,-0.12,0.1
hair,fit_phylo_repeat,0.88,0.26,1.89,-0.02,-0.11,0.1
hair,fit_phylo_year,0.89,0.25,1.89,-0.01,-0.11,0.1
ornaments,fit_base,0.92,0.33,1.89,-0.01,-0.11,0.11
ornaments,fit_phylo,0.94,0.27,1.95,-0.01,-0.11,0.11
ornaments,fit_phylo_repeat,0.94,0.3,1.94,-0.01,-0.1,0.1
ornaments,fit_phylo_year,0.88,0.27,1.86,-0.01,-0.11,0.1
permanent_scarring,fit_base,3.04,0.73,7.41,0.07,0.01,0.16
permanent_scarring,fit_phylo,3.21,0.7,7.64,0.07,0.01,0.16
permanent_scarring,fit_phylo_repeat,3.24,0.78,7.99,0.07,0.01,0.16
permanent_scarring,fit_phylo_year,3.32,0.67,8.25,0.07,0.01,0.15
tattoos_scarification,fit_base,0.93,0.19,2.26,-0,-0.06,0.07
tattoos_scarification,fit_phylo,0.95,0.2,2.39,-0,-0.06,0.08
tattoos_scarification,fit_phylo_repeat,0.94,0.19,2.43,-0,-0.06,0.08
tattoos_scarification,fit_phylo_year,0.96,0.2,2.41,-0,-0.06,0.08
