marker,model,lambda,lo95,hi95
circumcision,fit_phylo,0.37,0.09,0.69
circumcision,fit_phylo_repeat,0.29,0,0.67
dress,fit_phylo,0.05,0,0.22
dress,fit_phylo_repeat,0.04,0,0.21
extra_ritual_group_markers,fit_phylo,0.05,0,0.23
extra_ritual_group_markers,fit_phylo_repeat,0.04,0,0.19
food_taboos,fit_phylo,0.04,0,0.21
food_taboos,fit_phylo_repeat,0.04,0,0.21
hair,fit_phylo,0.07,0,0.31
hair,fit_phylo_repeat,0.06,0,0.28
ornaments,fit_phylo,0.08,0,0.34
ornaments,fit_phylo_repeat,0.07,0,0.31
permanent_scarring,fit_phylo,0.09,0,0.4
permanent_scarring,fit_phylo_repeat,0.09,0,0.38
tattoos_scarification,fit_phylo,0.06,0,0.34
tattoos_scarification,fit_phylo_repeat,0.06,0,0.32
