marker,model,parameter,rhat,ess_bulk,ess_tail
circumcision,fit_base,Intercept,1,5413.46,4123.64
circumcision,fit_base,violent_internal,1,4845.56,4450.95
circumcision,fit_phylo,Intercept,1,4479.48,4754.55
circumcision,fit_phylo,violent_internal,1,11161.42,5754.18
circumcision,fit_phylo_repeat,Intercept,1,5569.15,5521.54
circumcision,fit_phylo_repeat,violent_internal,1,12948.6,5942.07
circumcision,fit_phylo_year,Intercept,1,7495.37,5950.66
circumcision,fit_phylo_year,violent_internal,1,17332.19,5701.7
circumcision,fit_phylo_year,year_scaled,1,11335.22,6427.48
circumcision,fit_phylo_year,world_regionCentralEurasia,1,18197.52,6125.31
circumcision,fit_phylo_year,world_regionEastAsia,1,15115.05,6237.47
circumcision,fit_phylo_year,world_regionEurope,1,14676.73,6493.08
circumcision,fit_phylo_year,world_regionNorthAmerica,1,15992.51,5087.47
circumcision,fit_phylo_year,world_regionOceaniaMAustralia,1,14698.53,6059.46
circumcision,fit_phylo_year,world_regionSouthAmerica,1,17639.33,5965.55
circumcision,fit_phylo_year,world_regionSouthAsia,1,10353.95,5609.46
circumcision,fit_phylo_year,world_regionSoutheastAsia,1,16477.01,5368.66
circumcision,fit_phylo_year,world_regionSouthwestAsia,1,15429.66,5793.86
dress,fit_base,Intercept,1,4911.75,4313.06
dress,fit_base,violent_internal,1,5567.41,4859.21
dress,fit_phylo,Intercept,1,6895.15,4706.06
dress,fit_phylo,violent_internal,1,12864.45,5871.33
dress,fit_phylo_repeat,Intercept,1,9697.89,5507.32
dress,fit_phylo_repeat,violent_internal,1,16944.9,5945.13
dress,fit_phylo_year,Intercept,1,7539.78,5354.65
dress,fit_phylo_year,violent_internal,1,13816.23,5423.12
dress,fit_phylo_year,year_scaled,1,9354.37,6594.09
dress,fit_phylo_year,world_regionCentralEurasia,1,14575.53,5853.58
dress,fit_phylo_year,world_regionEastAsia,1,10881.22,6176.95
dress,fit_phylo_year,world_regionEurope,1,10219.14,6039.11
dress,fit_phylo_year,world_regionNorthAmerica,1,10864.46,5683.95
dress,fit_phylo_year,world_regionOceaniaMAustralia,1,13683.37,5700.56
dress,fit_phylo_year,world_regionSouthAmerica,1,11201.41,6224.95
dress,fit_phylo_year,world_regionSouthAsia,1,8879.87,5884.43
dress,fit_phylo_year,world_regionSoutheastAsia,1,11572.63,5730.54
dress,fit_phylo_year,world_regionSouthwestAsia,1,9745.91,4846.59
extra_ritual_group_markers,fit_base,Intercept,1,5537.97,4485.64
extra_ritual_group_markers,fit_base,violent_internal,1,5886.88,4912.36
extra_ritual_group_markers,fit_phylo,Intercept,1,5941.29,4905.3
extra_ritual_group_markers,fit_phylo,violent_internal,1,10439.36,6274.08
extra_ritual_group_markers,fit_phylo_repeat,Intercept,1,8839.59,5703.55
extra_ritual_group_markers,fit_phylo_repeat,violent_internal,1,15244.22,5866.98
extra_ritual_group_markers,fit_phylo_year,Intercept,1,7244.87,5993.63
extra_ritual_group_markers,fit_phylo_year,violent_internal,1,11738.63,6137.35
extra_ritual_group_markers,fit_phylo_year,year_scaled,1,9908.61,6252.31
extra_ritual_group_markers,fit_phylo_year,world_regionCentralEurasia,1,12248.03,6310.59
extra_ritual_group_markers,fit_phylo_year,world_regionEastAsia,1,10203.82,6348.08
extra_ritual_group_markers,fit_phylo_year,world_regionEurope,1,9473.59,6590.66
extra_ritual_group_markers,fit_phylo_year,world_regionNorthAmerica,1,9061.26,5838.31
extra_ritual_group_markers,fit_phylo_year,world_regionOceaniaMAustralia,1,12378.01,5764.78
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAmerica,1,12465.87,5563.73
extra_ritual_group_markers,fit_phylo_year,world_regionSouthAsia,1,8164.77,5528.2
extra_ritual_group_markers,fit_phylo_year,world_regionSoutheastAsia,1,12583.4,6248.32
extra_ritual_group_markers,fit_phylo_year,world_regionSouthwestAsia,1,10813.61,5604.79
food_taboos,fit_base,Intercept,1,5074.04,4816.29
food_taboos,fit_base,violent_internal,1,5322.05,4784.77
food_taboos,fit_phylo,Intercept,1,9838.29,5182.23
food_taboos,fit_phylo,violent_internal,1,14216.95,5033.03
food_taboos,fit_phylo_repeat,Intercept,1,12564.86,6032.41
food_taboos,fit_phylo_repeat,violent_internal,1,16648.09,5581.28
food_taboos,fit_phylo_year,Intercept,1,9547.76,5659.08
food_taboos,fit_phylo_year,violent_internal,1,14224.57,5550.58
food_taboos,fit_phylo_year,year_scaled,1,12644.41,6169.33
food_taboos,fit_phylo_year,world_regionCentralEurasia,1,15922.27,5645.62
food_taboos,fit_phylo_year,world_regionEastAsia,1,13389.35,6455.87
food_taboos,fit_phylo_year,world_regionEurope,1,12636.64,5937.1
