entry_id,entry_name,deepest_tag,PROPOSED_tip,PROPOSED_reason,CONFIRMED,CODE,CODER
1522,Tijaniyya Tariqa الطريقة التجانية,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
1555,Al-Ahbash الأحباش,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
1654,Le Parti du Mouvement de La Nahda حزب حركة النهضة,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
1985,Christianity in Antioch. From the Apostolic Era to the Islamic conquest,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2016,الدولة الفاطمية Fatimid Dynasty,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2023,الدولة الزيرية Zirid Dynasty,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2048,الدولة الرستمية Rustamid Dynasty,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2069,L'ordre Soufi Qasimite Hadfite الطريقة الصوفية القاسميّة الهادفية,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2074,"Revolutionary Mahdism and Resistance to Colonial Rule in the Sokoto Caliphate, 1905-1906",Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2084,MAITATSINE: NIGERIA'S BLOODY RELIGIOUS TERRORIST MOVEMENT,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2089,L'ordre Soufit karkariya en Tunisie الطريقة الكركرية في تونس,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2104,الطريقة التجانية في تونس ق18-ق19 ATARIKA TJENIA FI TOUNES  XVIII-XIXème siècle,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2114,Tijaniyyah Sufi Movement in North-Western Nigeria,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2116,Qadiriyyah Movement in the Sokoto Caliphate.,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2122,Jama'at Izalat al-Bid'ah wa Iqamat al-Sunnah (JIBWIS),Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2141,(Ahl al-Sunnah Group for Preaching and Jihad)جماعة أهل السنة للدعوة والجهاد,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2147,الدولة الحفصية Hafsid Dynasty,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2238,XX ــــــــ    ـق  XVIII   الطريقة التجانية في الجزائر :ق,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2245,صقلية الإسلامية Islamic Sicily,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2246,المذهب الحنفي بالبلاد التونسية The Hanafi school in Tunisia,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2247,الفتح العربي الإسلامي لشمال إفريقيا The Arab-Islamic Conquest of North Africa,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2248,الدولة المرادية في تونس The Muradid Dynasty in Tunisia,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2256,الطريقة الرحمانية في الجزائر  ق18-ق20,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2278,الطريقة القادرية البودشيشية في المغرب الأقصى,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2290,الطريقة القادرية في مصر ق13م-ق21م,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2299,الحشاشين  ق11-ق13   =   Assassins   XI-XIII,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2301,Kaloutsiani Mosque,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2308,الفتح العربي الإسلامي للأندلس The Arab-Islamic Conquest of the Iberian Peninsula,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
2309,الدولة الأموية بالأندلس The Umayyad Dynasty in the Iberian Peninsula,Arabic,AA.SEMITIC.STANDARD_ARABIC,confirm coding,,,
