NEEDS_CODE,CODE,CODER,entry_id,entry_name,entrytag_name,tip_name,Glottocode,ID,asjp_candidates,source,coding
True,,,174,Matthew-James-Didache Movement,Classical Syriac,AA.SEMITIC.CLASSICAL_SYRIAC,clas1252,CLASSICAL_SYRIAC,CLASSICAL_SYRIAC | SYRIAC | SYRIAC_2,DRH,SCCSR.v3
True,,,230,Religion in Mesopotamia,Akkadian,AA.SEMITIC.AKKADIAN,akka1240,AKKADIAN,AKKADIAN | AKKADIAN_2,DRH,SCCSR.v3
True,,,284,Yolngu religion,Nuclear Dhuwal,Aus.PAMA_NYUNGAN.DJAPU,nucl1333,DJAPU,DJAPU | DHUWAL,DRH,SCCSR.v3
True,,,354,Priests and Scholars of Hellenistic Uruk,Akkadian,AA.SEMITIC.AKKADIAN,akka1240,AKKADIAN,AKKADIAN | AKKADIAN_2,DRH,SCCSR.v3
True,,,455,Lan Na Buddhism,Northern Thai,TK.KAM_TAI.LAMPANG_THAI,nort2740,LAMPANG_THAI,LAMPANG_THAI | TAI_CHIENGMAI,DRH,SCCSR.v3
True,,,577,Ganda,Ganda,NC.BANTOID.LUGANDA,gand1255,LUGANDA,LUGANDA | J15_GANDA,DRH,SCCSR.v3
True,,,602,Amhara,Amharic,AA.SEMITIC.AMHARIC,amha1245,AMHARIC,AMHARIC | AMHARIC_2 | AMHARIC_3,manual_A,Matthew Hamm
True,,,630,Aranda,Alyawarr,Aus.PAMA_NYUNGAN.ALYAWARRA,alya1239,ALYAWARRA,ALYAWARRA | ALYAWARR_ALYAWARA | ALYAWARR_MACDONALDDOWNS_ALYAWARA,DRH,SCCSR.v3
True,,,667,Ainu,Russian,IE.SLAVIC.RUSSIAN,russ1263,RUSSIAN,RUSSIAN | NINILCHIK_RUSSIAN,DRH,SCCSR.v3
True,,,675,Chukchee,Russian,IE.SLAVIC.RUSSIAN,russ1263,RUSSIAN,RUSSIAN | NINILCHIK_RUSSIAN,DRH,SCCSR.v3
True,,,679,Santal,Santali,AuA.MUNDA.SANTALI,sant1410,SANTALI,SANTALI | BODOBELGHORIA_SANTALI | JABRI_SANTALI | PAHARPUR_SANTALI | PATICHORA_SANTALI | RAJARAMPUR_SANTALI | RASHIDPUR_SANTALI | RAUTNAGAR_SANTALI,DRH,SCCSR.v3
True,,,681,Sargonic Empire,Akkadian,AA.SEMITIC.AKKADIAN,akka1240,AKKADIAN,AKKADIAN | AKKADIAN_2,DRH,SCCSR.v3
True,,,684,Huron,Huron-Wyandot,Iro.NORTHERN_IROQUOIAN.WYANDOT,wyan1247,WYANDOT,WYANDOT | WENDAT_HURON,DRH,SCCSR.v3
True,,,689,Lengua,Enxet Sur,Mas.MASCOIAN.LENGUA,sout2989,LENGUA,LENGUA | LENGUA_2,DRH,SCCSR.v3
True,,,728,Pentecost,Seke (Vanuatu),An.OCEANIC.SKE,seke1241,SKE,SKE | SEKE,DRH,SCCSR.v3
