entry_id,entry_name,answer_value,world_region_simple
2308,الفتح العربي الإسلامي للأندلس,1,Europe
2290,الطريقة القادرية في مصر ق13م-ق21م,1,Africa
2278,الطريقة القادرية البودشيشية في المغرب الأقصى,1,Africa
2274,Ìjọ Àdìmúlà (An Institutionalised Indigenous Religious Movement in Yorubaland,1,Africa
2273,Yuan divination schools,1,Asia
2266,Yangsheng Daoism from Laozi to Ge Hong,0,Asia
2264,The Puritans,1,Europe
2256,الطريقة الرحمانية في الجزائر  ق18-ق20,1,Africa
2255,Dongxiang,1,Europe
2248,الدولة المرادية في تونس,1,Africa
2247,الفتح العربي الإسلامي لشمال إفريقيا,1,Africa
2246,المذهب الحنفي بالبلاد التونسية,1,Africa
2245,صقلية الإسلامية,1,Europe
2244,"Catholicism in the Latin Empire, Catholicism in the Eastern Roman Empire (Byzantium), the Latin Patriarchate of Constantinople",1,Europe
2243,Hui People,1,Europe
2238,XX ــــــــ    ـق  XVIII   الطريقة التجانية في الجزائر :ق,1,Africa
2233,The Way of Former Heaven (Xiantiandao 先天道),1,Asia
2232,"Lollards, Lollard, the Lollard movement, Lollardism,  Lollardy, Wycliffites",1,Europe
2228,Church of God Mission,1,Africa
2225,"Culdees, Céli Dé, Céili Dé, Céle Dé,  ""Clients of God"", ""Servants of God"", ""Spouses of God"", ""Companions of God"", Kelidei, Kaledei; Céile Dé",1,Europe
2210,Living Faith Church Worldwide,1,Africa
2203,Huang-Lao Daoism,1,Asia
2200,The Roman Catholic Mission in Nigeria,1,Africa
2194,The Redeemed Christian Church of God,1,Africa
2180,Cao Đài,1,Americas
2168,"Dzibilchaltún, arquitectura, poder y cambio religioso en el norte de Yucatán",1,Americas
2166,Judaism in Byzantium,1,Europe
2160,Manichaeans,1,Asia
2157,Blue Light Evangelicals in the Late Eighteenth-Century Royal Navy,1,Americas
2149,Judaism in Byzantium,1,Europe
2148,الدولة الحسينية 1705م -1957م,1,Africa
2147,الدولة الحفصية 1229-1574,1,Africa
2141,(Ahl al-Sunnah Group for Preaching and Jihad)جماعة أهل السنة للدعوة والجهاد,1,Africa
2139,Shi'a Group in Nigeria,1,Africa
2138,الجماعة الأحمدية الإسلامية في نيجيريا,1,Africa
2133,ANSAR-UD-DEEN SOCIETY OF NIGERIA,1,Africa
2131,Chimú Empire Religion,1,Americas
2128,Paulicians,1,Europe
2126,Nasrul-lahi-li Fathi Society of Nigeria (NASFAT),1,Africa
2122,Jama'at Izalat al-Bid'ah wa Iqamat al-Sunnah (JIBWIS),1,Africa
2116,Qadiriyyah Movement in the Sokoto Caliphate.,1,Africa
2114,Tijaniyyah Sufi Movement in North-Western Nigeria,1,Africa
2111,Tsinburbura Traditional Religion,1,Africa
2104,الطريقة التجانية في تونس ق18-ق19 ATARIKA TJENIA FI TOUNES  XVIII-XIXème siècle,1,Africa
2100,الدولة الزيانية,1,Africa
2094,Feathered Serpent's cult,1,Americas
2089,L'ordre Soufit karkariya en Tunisie الطريقة الكركرية في تونس,1,Africa
2084,MAITATSINE: NIGERIA'S BLOODY RELIGIOUS TERRORIST MOVEMENT,0,Africa
2074,"Revolutionary Mahdism and Resistance to Colonial Rule in the Sokoto Caliphate, 1905-1906",1,Africa
2070,Overcomers Evangelical Mission International (Ori-Oke Asegun),1,Africa
2069,L'ordre Soufi Qasimite Hadfite الطريقة الصوفية القاسميّة الهادفية,1,Africa
2061,OYA RELIGIOUS GROUP IN OYO,1,Africa
2054,Christ Apostolic Church,1,Africa
2052,Christ Way Ministries International,1,Africa
2048,الدولة الرستمية,1,Africa
2038,"Cathars, Catharism, Albigenses, Albigensians, Cathari, Catharistae, ""Pure Christians""",1,Europe
2031,الدولة الأغلبية  184-296 هجري,1,Africa
2027,Hizb-ut-Tahrir,1,Europe
2023,الدولة الزيرية 971 - 1152,1,Africa
2021,The United Missionary Church of Africa,1,Africa
2010,Bektashi Tarika,1,Europe
2009,Ancient Arcadians,1,Europe
2006,New Life for All Nations Ministries,1,Africa
2003,Nigerian Baptist Convention,1,Africa
2000,"The Community Church of Apostles Nigeria and Oversea (COCANO), Ajegunle",1,Africa
1994,Nigeria Fellowship of Evangelical Students (NIFES),1,Africa
1993,Ancient Boeotians,1,Europe
1989,Iron Age Celtic Spain and Portugal (Celtiberia),1,Europe
1985,Christianity in Antioch. From the Apostolic Era to the Islamic conquest,1,Asia
1983,Early Byzantine Asceticism,0,Asia
1978,"The Dharmalakshana Buddhist Institute 佛教法相學會, Hong Kong",1,Asia
1974,"Chapel of Grace, Ile-Ife",1,Africa
1972,Shepherding Movement,1,Americas
1966,Cherubim & Seraphim Movement Church (Worldwide) Ayo Ni O,1,Africa
1962,Huayan School 華嚴宗,1,Asia
1961,"Grace Covenant Centre, Ado-Ekiti",1,Africa
1958,The Apostolic Faith Mission in Zimbabwe,1,Africa
1945,Theyyam Worshippers,1,Asia
1943,Cult of Gauchito Gil,1,Americas
1940,"The Holy Apostles Community, Ori-Oke Iwamimo",1,Africa
1938,Bahai religion,1,Asia
1928,(The gathering of the Messenger of God does not falter)وجمع رسول الله لا يتشعث,1,Africa
1918,Contemporary Neo-Confucianism 當代新儒家,1,Asia
1908,"Buddhist Traders in the Chinese Quarter in Hakata, Japan",1,Asia
1904,الطريقة القادرية في تونس القرن  19 و20   =  L'ordre Qadiri en Tunisie aux XIXe et XXe siècles,1,Africa
1903,The 'Abbāsids,1,Asia
1897,"The Episcopal Church of Cherubim and Seraphim, Zion Pepe",1,Africa
1872,"The Holy Apostles Community, Ayetoro",1,Africa
1869,IFA RELIGIOUS GROUP IN ILE- IFE,1,Africa
1858,Christianity in Alexandria: From Origen to Athanasius,1,Africa
1845,Benedictine Order in Denmark,1,Europe
1835,"The Cherubim and Seraphim Church of Zion, Ugbonla",1,Africa
1829,Cherubim and Seraphim Unification Church of Nigeria (C&SUCN),1,Africa
1820,"Cherubim and Seraphim Church Unification, Campus Fellowship",1,Africa
1808,'yan Taru (Women Cadre of the Nana Asma'u),1,Africa
1806,Sango Religious group in Oyo,1,Africa
1793,Monothelitism,1,Europe
1791,"الطريقة القادرية في بغداد: فترة التأسيس ق12 Attarika Al Qadiria à Bagdad: la période fondatrice, le XIIe siècle",1,Asia
1781,المذهب الشيعي في تونس,1,Africa
1779,المذهب المالكي بالبلاد التونسية,1,Africa
1777,الطريقة التّيجانية بالبلاد التونسية,1,Africa
1776,الطريقة القادرية في البلاد التونسية,1,Africa
